Age_at_enrollment,Admission_grade,pass_rate_sem1,pass_rate_sem2,finance_risk,drop_score,risk_level,shap_feat,shap_val
18,130.6,1.0,0.8333333333333334,0,0.1542460762601649,No-risk,"[""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_approved"", ""bin__finance_risk_1"", ""num__Curricular_units_2nd_sem_approved"", ""cat__Course_9670""]","[-0.4862470602703223, -0.39115493778445665, -0.30896765785513813, -0.2260446675324216, 0.18685737359024376]"
18,119.3,0.875,0.875,0,0.0453304090966259,No-risk,"[""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_enrolled"", ""cat__Course_9500""]","[-0.7121622321182745, -0.6172560578910791, -0.5824808104930319, 0.5312426675174139, -0.4613765001806311]"
19,130.2,0.0,0.0,0,0.9735189989196884,Red,"[""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""cat__Course_9853"", ""num__Curricular_units_1st_sem_grade""]","[1.43842794418387, 0.9892492439322105, 0.9654517828552774, 0.7323010328262937, -0.5926392311726058]"
21,111.8,1.0,0.8333333333333334,0,0.08594524439796672,No-risk,"[""cat__Application_mode_53"", ""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_approved"", ""bin__Scholarship_holder_1"", ""cat__Course_9254""]","[-0.6709203723982228, -0.4862470602703223, -0.39115493778445665, -0.35996963060907333, 0.3364076526958035]"
18,137.1,0.8,1.0,0,0.06133516400277257,No-risk,"[""num__pass_rate_sem2"", ""bin__Scholarship_holder_1"", ""bin__finance_risk_1"", ""num__Curricular_units_2nd_sem_enrolled"", ""num__Curricular_units_1st_sem_enrolled""]","[-0.8711820611611606, -0.35996963060907333, -0.30896765785513813, -0.26962567547366234, -0.22925552338684446]"
20,120.7,0.8333333333333334,0.0,0,0.9082243777539286,Red,"[""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""cat__Course_9773"", ""num__Curricular_units_2nd_sem_grade"", ""bin__finance_risk_1""]","[1.43842794418387, 0.9892492439322105, 0.4229539019535702, 0.3675768098841127, -0.30896765785513813]"
18,137.4,0.16666666666666666,0.3333333333333333,0,0.6956012369275232,Red,"[""num__Curricular_units_1st_sem_approved"", ""num__pass_rate_sem2"", ""cat__Course_9238"", ""num__Curricular_units_2nd_sem_approved"", ""cat__Application_mode_18""]","[0.739350662748655, 0.668557942402193, -0.6019999562254851, 0.5031316793463577, 0.33326298455946124]"
18,127.3,1.0,1.0,0,0.0627035847383468,No-risk,"[""num__Curricular_units_2nd_sem_approved"", ""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_approved"", ""num__Curricular_units_2nd_sem_enrolled"", ""cat__Course_9500""]","[-0.9552210144112008, -0.8711820611611606, -0.6172560578910791, 0.5312426675174139, -0.4613765001806311]"
20,136.3,0.8,0.8,0,0.2908958335300812,No-risk,"[""cat__Course_9130"", ""num__pass_rate_sem2"", ""bin__finance_risk_1"", ""num__Curricular_units_2nd_sem_enrolled"", ""num__Curricular_units_2nd_sem_without_evaluations""]","[0.9051435145878933, -0.40926006009215465, -0.30896765785513813, -0.26962567547366234, -0.23156643831986773]"
18,124.6,0.8571428571428571,0.8571428571428571,0,0.23685644411383444,No-risk,"[""cat__Course_9853"", ""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""bin__finance_risk_1""]","[0.7323010328262937, -0.541237774683299, -0.469103449825348, -0.39115493778445665, -0.30896765785513813]"
21,120.3,0.0,0.0,0,0.3390748474778033,No-risk,"[""num__Curricular_units_2nd_sem_enrolled"", ""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_enrolled"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved""]","[-1.604406247125456, 1.43842794418387, -1.3209484918956278, 0.9892492439322105, 0.9654517828552774]"
20,121.8,1.0,1.0,0,0.10184896800253752,No-risk,"[""num__Curricular_units_2nd_sem_approved"", ""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_approved"", ""num__Curricular_units_2nd_sem_enrolled"", ""cat__Application_mode_18""]","[-0.9552210144112008, -0.8711820611611606, -0.6172560578910791, 0.5312426675174139, 0.33326298455946124]"
18,125.5,0.875,0.875,0,0.06506708619212495,No-risk,"[""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_enrolled"", ""cat__Course_9500""]","[-0.7121622321182745, -0.6172560578910791, -0.5824808104930319, 0.5312426675174139, -0.4613765001806311]"
19,114.9,1.0,1.0,0,0.0537278950740952,No-risk,"[""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""bin__Scholarship_holder_1"", ""bin__finance_risk_1""]","[-0.8711820611611606, -0.469103449825348, -0.39115493778445665, -0.35996963060907333, -0.30896765785513813]"
19,123.9,0.8571428571428571,0.875,0,0.07773238180433131,No-risk,"[""num__Curricular_units_2nd_sem_approved"", ""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_enrolled"", ""cat__Course_9500"", ""num__Curricular_units_1st_sem_approved""]","[-0.7121622321182745, -0.5824808104930319, 0.5312426675174139, -0.4613765001806311, -0.39115493778445665]"
18,157.0,0.8333333333333334,0.6666666666666666,1,0.2778038441988394,No-risk,"[""bin__finance_risk_1"", ""cat__Course_9238"", ""bin__Scholarship_holder_1"", ""cat__Mothers_qualification_19"", ""cat__Fathers_qualification_38""]","[1.3171779098034833, -0.6019999562254851, -0.35996963060907333, -0.2762306234738683, -0.275972859945078]"
21,116.4,1.0,1.0,0,0.04085077861438634,No-risk,"[""num__pass_rate_sem2"", ""cat__Course_9238"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""bin__finance_risk_1""]","[-0.8711820611611606, -0.6019999562254851, -0.469103449825348, -0.39115493778445665, -0.30896765785513813]"
18,131.0,1.0,0.8,0,0.09077981612439245,No-risk,"[""num__pass_rate_sem2"", ""bin__finance_risk_1"", ""cat__Mothers_qualification_19"", ""num__Curricular_units_2nd_sem_enrolled"", ""num__Curricular_units_1st_sem_enrolled""]","[-0.40926006009215465, -0.30896765785513813, -0.2762306234738683, -0.26962567547366234, -0.22925552338684446]"
20,122.1,1.0,1.0,0,0.06792862137551232,No-risk,"[""num__pass_rate_sem2"", ""bin__finance_risk_1"", ""cat__Mothers_qualification_19"", ""num__Curricular_units_2nd_sem_enrolled"", ""num__Curricular_units_1st_sem_enrolled""]","[-0.8711820611611606, -0.30896765785513813, -0.2762306234738683, -0.26962567547366234, -0.22925552338684446]"
19,118.8,0.8571428571428571,0.8571428571428571,0,0.15476434762947233,No-risk,"[""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""cat__Course_9500"", ""cat__Fathers_qualification_3"", ""num__Curricular_units_1st_sem_approved""]","[-0.541237774683299, -0.469103449825348, -0.4613765001806311, -0.43626709976270756, -0.39115493778445665]"
21,150.0,0.8333333333333334,0.8333333333333334,0,0.056598639430402484,No-risk,"[""cat__Mothers_qualification_4"", ""num__pass_rate_sem2"", ""cat__Application_mode_44"", ""cat__Course_9003"", ""num__Curricular_units_2nd_sem_evaluations""]","[-1.2296102761534229, -0.4862470602703223, -0.38522250363967914, -0.3423986791228612, -0.3351424069559132]"
20,130.0,1.0,0.6666666666666666,0,0.23459713939573865,No-risk,"[""cat__Fathers_qualification_3"", ""cat__Mothers_qualification_42"", ""num__Curricular_units_1st_sem_approved"", ""bin__finance_risk_1"", ""bin__Gender_1""]","[-0.43626709976270756, -0.39605776672158277, -0.39115493778445665, -0.30896765785513813, 0.2280876536307362]"
18,138.8,0.6,0.4,1,0.8844049674539347,Red,"[""bin__finance_risk_1"", ""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""num__Curricular_units_2nd_sem_enrolled""]","[1.3171779098034833, 0.5145839420458576, 0.5031316793463577, 0.2871484225354103, -0.26962567547366234]"
19,134.5,1.0,1.0,0,0.049345424381963425,No-risk,"[""num__pass_rate_sem2"", ""cat__Course_8014"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""cat__Application_mode_18""]","[-0.8711820611611606, -0.6734548248977921, -0.469103449825348, -0.39115493778445665, 0.33326298455946124]"
34,131.4,1.0,1.0,0,0.11762727255256979,No-risk,"[""num__pass_rate_sem2"", ""cat__Mothers_qualification_2"", ""cat__Course_9991"", ""bin__finance_risk_1"", ""num__Curricular_units_2nd_sem_enrolled""]","[-0.8711820611611606, -0.4651174152091631, 0.44250946148878934, -0.30896765785513813, -0.26962567547366234]"
37,102.5,0.0,0.14285714285714285,1,0.9943104670620924,Red,"[""bin__finance_risk_1"", ""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_approved"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_grade""]","[1.3171779098034833, 1.1084836577060082, 0.9654517828552774, 0.746190461639284, -0.5926392311726058]"
43,128.8,0.0,0.0,0,0.9933166720984048,Red,"[""num__pass_rate_sem2"", ""cat__Mothers_qualification_34"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""num__Curricular_units_1st_sem_grade""]","[1.43842794418387, 1.0240290410381454, 0.9892492439322105, 0.9654517828552774, -0.5926392311726058]"
55,122.9,0.2,0.4,0,0.7932149590228518,Red,"[""num__Curricular_units_1st_sem_approved"", ""num__Age_at_enrollment"", ""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""bin__finance_risk_1""]","[0.739350662748655, 0.732149111729095, 0.5145839420458576, 0.5031316793463577, -0.30896765785513813]"
39,113.9,1.0,1.0,0,0.185540608746222,No-risk,"[""num__pass_rate_sem2"", ""cat__Course_9991"", ""num__Age_at_enrollment"", ""bin__finance_risk_1"", ""cat__Mothers_qualification_19""]","[-0.8711820611611606, 0.44250946148878934, 0.36675966108450614, -0.30896765785513813, -0.2762306234738683]"
20,120.0,0.5,0.5,1,0.8381898106852663,Red,"[""bin__finance_risk_1"", ""cat__Mothers_qualification_4"", ""cat__Course_9130"", ""cat__Application_mode_44"", ""num__Curricular_units_1st_sem_approved""]","[1.3171779098034833, -1.2296102761534229, 0.9051435145878933, -0.38522250363967914, 0.2871484225354103]"
18,121.1,0.6666666666666666,0.0,1,0.9815251089488826,Red,"[""num__pass_rate_sem2"", ""bin__finance_risk_1"", ""num__Curricular_units_2nd_sem_approved"", ""cat__Fathers_qualification_3"", ""cat__Course_9773""]","[1.43842794418387, 1.3171779098034833, 0.9892492439322105, -0.43626709976270756, 0.4229539019535702]"
22,120.4,1.0,1.0,0,0.07801132890140539,No-risk,"[""num__pass_rate_sem2"", ""bin__finance_risk_1"", ""num__Curricular_units_2nd_sem_enrolled"", ""num__Curricular_units_1st_sem_grade"", ""num__Curricular_units_1st_sem_enrolled""]","[-0.8711820611611606, -0.30896765785513813, -0.26962567547366234, 0.251446855616704, -0.22925552338684446]"
22,100.6,0.7142857142857143,0.875,0,0.17029726847612706,No-risk,"[""num__Curricular_units_2nd_sem_approved"", ""num__pass_rate_sem2"", ""bin__Educational_special_needs_1"", ""num__Curricular_units_2nd_sem_enrolled"", ""cat__Course_9500""]","[-0.7121622321182745, -0.5824808104930319, 0.5599812995905877, 0.5312426675174139, -0.4613765001806311]"
20,121.4,0.6666666666666666,0.8333333333333334,1,0.7602322988147503,Red,"[""bin__finance_risk_1"", ""num__pass_rate_sem2"", ""cat__Course_9773"", ""cat__Fathers_qualification_38"", ""num__Curricular_units_2nd_sem_approved""]","[1.3171779098034833, -0.4862470602703223, 0.4229539019535702, -0.275972859945078, -0.2260446675324216]"
29,109.7,0.0,0.0,0,0.9787397999807946,Red,"[""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""num__Curricular_units_1st_sem_grade"", ""cat__Course_9991""]","[1.43842794418387, 0.9892492439322105, 0.9654517828552774, -0.5926392311726058, 0.44250946148878934]"
24,134.1,0.4,0.6,0,0.5593515740366374,Yellow,"[""num__Curricular_units_1st_sem_approved"", ""cat__Course_9991"", ""bin__finance_risk_1"", ""cat__Fathers_qualification_38"", ""num__Curricular_units_2nd_sem_enrolled""]","[0.5132495426420327, 0.44250946148878934, -0.30896765785513813, -0.275972859945078, -0.26962567547366234]"
18,127.6,1.0,0.8333333333333334,0,0.08552130155986072,No-risk,"[""cat__Course_9238"", ""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_approved"", ""bin__finance_risk_1"", ""cat__Mothers_qualification_19""]","[-0.6019999562254851, -0.4862470602703223, -0.39115493778445665, -0.30896765785513813, -0.2762306234738683]"
22,132.4,0.8571428571428571,0.875,0,0.11938954509759342,No-risk,"[""num__Curricular_units_2nd_sem_approved"", ""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_enrolled"", ""cat__Course_9500"", ""num__Curricular_units_1st_sem_approved""]","[-0.7121622321182745, -0.5824808104930319, 0.5312426675174139, -0.4613765001806311, -0.39115493778445665]"
21,133.4,1.0,1.0,0,0.016608437566479648,No-risk,"[""num__pass_rate_sem2"", ""cat__Course_8014"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""cat__Application_mode_44""]","[-0.8711820611611606, -0.6734548248977921, -0.469103449825348, -0.39115493778445665, -0.38522250363967914]"
19,126.1,0.8333333333333334,1.0,0,0.03783676857792225,No-risk,"[""num__pass_rate_sem2"", ""cat__Course_9238"", ""num__Curricular_units_2nd_sem_approved"", ""bin__Scholarship_holder_1"", ""bin__finance_risk_1""]","[-0.8711820611611606, -0.6019999562254851, -0.469103449825348, -0.35996963060907333, -0.30896765785513813]"
24,113.5,1.0,1.0,0,0.0891244646419715,No-risk,"[""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""bin__Scholarship_holder_1"", ""cat__Course_9254""]","[-0.8711820611611606, -0.469103449825348, -0.39115493778445665, -0.35996963060907333, 0.3364076526958035]"
19,121.3,0.75,0.75,0,0.12652889014912116,No-risk,"[""num__Curricular_units_2nd_sem_enrolled"", ""num__Curricular_units_2nd_sem_approved"", ""cat__Course_9500"", ""num__Curricular_units_1st_sem_enrolled"", ""num__Curricular_units_1st_sem_approved""]","[0.5312426675174139, -0.469103449825348, -0.4613765001806311, 0.42576025771842546, -0.39115493778445665]"
20,121.8,0.6666666666666666,0.5,0,0.47185906149537316,Yellow,"[""cat__Course_9773"", ""bin__Scholarship_holder_1"", ""bin__finance_risk_1"", ""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved""]","[0.4229539019535702, -0.35996963060907333, -0.30896765785513813, 0.28362294151135464, 0.2600728970534313]"
19,159.3,1.0,1.0,0,0.20595215300863454,No-risk,"[""cat__Course_9130"", ""num__pass_rate_sem2"", ""bin__finance_risk_1"", ""num__Curricular_units_2nd_sem_enrolled"", ""num__Curricular_units_1st_sem_grade""]","[0.9051435145878933, -0.8711820611611606, -0.30896765785513813, -0.26962567547366234, 0.24655832615653417]"
27,120.0,1.0,1.0,0,0.13342635041533804,No-risk,"[""num__pass_rate_sem2"", ""cat__Course_9991"", ""bin__finance_risk_1"", ""cat__Fathers_qualification_38"", ""num__Curricular_units_2nd_sem_enrolled""]","[-0.8711820611611606, 0.44250946148878934, -0.30896765785513813, -0.275972859945078, -0.26962567547366234]"
18,129.1,1.0,1.0,0,0.040268830006527756,No-risk,"[""num__Curricular_units_2nd_sem_approved"", ""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_approved"", ""num__Curricular_units_2nd_sem_enrolled"", ""cat__Course_9500""]","[-0.9552210144112008, -0.8711820611611606, -0.6172560578910791, 0.5312426675174139, -0.4613765001806311]"
39,130.0,0.0,0.0,0,0.9872230622381342,Red,"[""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""cat__Application_mode_7"", ""num__Curricular_units_1st_sem_grade""]","[1.43842794418387, 0.9892492439322105, 0.9654517828552774, 0.7471132461126765, -0.5926392311726058]"
27,155.3,0.8333333333333334,0.9090909090909091,0,0.3670747593927738,No-risk,"[""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_2nd_sem_enrolled"", ""cat__Course_9130"", ""num__pass_rate_sem2"", ""cat__Fathers_qualification_3""]","[-1.4413385789970536, 1.33211101050849, 0.9051435145878933, -0.6612175152207033, -0.43626709976270756]"
18,139.8,1.0,1.0,0,0.06639946515236471,No-risk,"[""num__Curricular_units_2nd_sem_approved"", ""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_approved"", ""num__Curricular_units_2nd_sem_enrolled"", ""cat__Course_9500""]","[-0.9552210144112008, -0.8711820611611606, -0.8433571779977013, 0.5312426675174139, -0.4613765001806311]"
18,115.2,0.0,0.0,0,0.39344344053125646,No-risk,"[""num__Curricular_units_2nd_sem_enrolled"", ""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_enrolled"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved""]","[-1.604406247125456, 1.43842794418387, -1.3209484918956278, 0.9892492439322105, 0.9654517828552774]"
18,114.9,0.8571428571428571,0.875,0,0.0723823127832037,No-risk,"[""num__Curricular_units_2nd_sem_approved"", ""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_enrolled"", ""cat__Course_9500"", ""num__Curricular_units_1st_sem_approved""]","[-0.7121622321182745, -0.5824808104930319, 0.5312426675174139, -0.4613765001806311, -0.39115493778445665]"
21,131.9,1.0,1.0,0,0.021513643805443128,No-risk,"[""num__pass_rate_sem2"", ""cat__Course_9238"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""cat__Application_mode_44""]","[-0.8711820611611606, -0.6019999562254851, -0.469103449825348, -0.39115493778445665, -0.38522250363967914]"
19,126.0,0.0,0.0,0,0.45887020304208564,Yellow,"[""num__Curricular_units_2nd_sem_enrolled"", ""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_enrolled"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved""]","[-1.604406247125456, 1.43842794418387, -1.3209484918956278, 0.9892492439322105, 0.9654517828552774]"
19,130.2,0.8333333333333334,0.16666666666666666,0,0.8459709196735141,Red,"[""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""bin__finance_risk_1"", ""bin__Gender_1"", ""cat__Application_mode_17""]","[1.0534929432930316, 0.746190461639284, -0.30896765785513813, 0.2280876536307362, 0.1812549761486795]"
24,120.9,0.0,0.0,0,0.9669309278785921,Red,"[""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""num__Curricular_units_1st_sem_grade"", ""num__Curricular_units_2nd_sem_grade""]","[1.43842794418387, 0.9892492439322105, 0.9654517828552774, -0.5926392311726058, 0.3675768098841127]"
29,126.0,0.7142857142857143,0.625,0,0.5855625098416058,Yellow,"[""num__Curricular_units_2nd_sem_enrolled"", ""cat__Course_9500"", ""cat__Application_mode_42"", ""bin__finance_risk_1"", ""bin__Gender_1""]","[0.5312426675174139, -0.4613765001806311, 0.37621384385980916, -0.30896765785513813, 0.2280876536307362]"
19,128.2,0.0,0.0,0,0.32794568455747164,No-risk,"[""num__Curricular_units_2nd_sem_enrolled"", ""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_enrolled"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved""]","[-1.604406247125456, 1.43842794418387, -1.3209484918956278, 0.9892492439322105, 0.9654517828552774]"
23,130.0,1.0,1.0,0,0.05128901945550194,No-risk,"[""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""cat__Application_mode_44"", ""cat__Course_9003""]","[-0.8711820611611606, -0.469103449825348, -0.39115493778445665, -0.38522250363967914, -0.3423986791228612]"
19,120.1,1.0,0.8,1,0.3594508629217534,No-risk,"[""bin__finance_risk_1"", ""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_without_evaluations"", ""cat__Fathers_qualification_38"", ""num__Curricular_units_2nd_sem_enrolled""]","[1.3171779098034833, -0.40926006009215465, -0.3515490488482966, -0.275972859945078, -0.26962567547366234]"
26,100.0,1.0,0.8333333333333334,0,0.2944315323545199,No-risk,"[""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_approved"", ""cat__Course_9254"", ""bin__finance_risk_1"", ""cat__Mothers_qualification_19""]","[-0.4862470602703223, -0.39115493778445665, 0.3364076526958035, -0.30896765785513813, -0.2762306234738683]"
18,134.0,0.0,0.0,0,0.9524503786822897,Red,"[""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved"", ""num__Curricular_units_1st_sem_grade"", ""num__Curricular_units_2nd_sem_grade""]","[1.43842794418387, 0.9892492439322105, 0.9654517828552774, -0.5926392311726058, 0.3675768098841127]"
24,130.8,1.0,1.0,0,0.11771441400171341,No-risk,"[""num__Curricular_units_2nd_sem_approved"", ""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_approved"", ""num__Curricular_units_2nd_sem_enrolled"", ""cat__Course_9500""]","[-0.9552210144112008, -0.8711820611611606, -0.6172560578910791, 0.5312426675174139, -0.4613765001806311]"
19,135.8,0.0,0.0,0,0.44147432472217013,Yellow,"[""num__Curricular_units_2nd_sem_enrolled"", ""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_enrolled"", ""num__Curricular_units_2nd_sem_approved"", ""num__Curricular_units_1st_sem_approved""]","[-1.604406247125456, 1.43842794418387, -1.3209484918956278, 0.9892492439322105, 0.9654517828552774]"
18,111.7,0.5,0.16666666666666666,0,0.9103744243425428,Red,"[""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""cat__Course_9254"", ""bin__finance_risk_1"", ""num__Curricular_units_1st_sem_approved""]","[1.0534929432930316, 0.746190461639284, 0.3364076526958035, -0.30896765785513813, 0.2871484225354103]"
18,132.9,1.0,0.5,0,0.4827087558120873,Yellow,"[""cat__Course_9773"", ""num__Curricular_units_1st_sem_approved"", ""bin__finance_risk_1"", ""num__pass_rate_sem2"", ""cat__Fathers_qualification_38""]","[0.4229539019535702, -0.39115493778445665, -0.30896765785513813, 0.28362294151135464, -0.275972859945078]"
18,115.5,0.6,0.6,1,0.7984006404696422,Red,"[""bin__finance_risk_1"", ""num__Curricular_units_1st_sem_approved"", ""cat__Mothers_qualification_19"", ""num__Curricular_units_2nd_sem_enrolled"", ""num__Curricular_units_2nd_sem_approved""]","[1.3171779098034833, 0.2871484225354103, -0.2762306234738683, -0.26962567547366234, 0.2600728970534313]"
21,106.0,0.6666666666666666,0.16666666666666666,0,0.8228953330948324,Red,"[""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""bin__Scholarship_holder_1"", ""cat__Course_9254"", ""cat__Application_mode_18""]","[1.0534929432930316, 0.746190461639284, -0.35996963060907333, 0.3364076526958035, 0.33326298455946124]"
19,120.3,1.0,1.0,1,0.494872204934419,Yellow,"[""bin__finance_risk_1"", ""num__pass_rate_sem2"", ""num__Curricular_units_2nd_sem_approved"", ""cat__Course_9773"", ""num__Curricular_units_1st_sem_approved""]","[1.3171779098034833, -0.8711820611611606, -0.469103449825348, 0.4229539019535702, -0.39115493778445665]"
22,130.8,1.0,1.0,0,0.06322565970873462,No-risk,"[""num__Curricular_units_2nd_sem_approved"", ""num__pass_rate_sem2"", ""num__Curricular_units_1st_sem_approved"", ""num__Curricular_units_2nd_sem_enrolled"", ""cat__Course_9500""]","[-0.9552210144112008, -0.8711820611611606, -0.6172560578910791, 0.5312426675174139, -0.4613765001806311]"
